epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,18608.1,1.0613,0.5785,0.96755,0.57283,0.38392,0.34892,0.18606,1.68559,0.97597,1.48318,0.001981,0.001981,0.001981
83,18839.4,1.05214,0.57393,0.96368,0.57151,0.38369,0.34853,0.18796,1.68612,0.97721,1.48568,0.001882,0.001882,0.001882
84,19071.2,1.047,0.56824,0.96002,0.57183,0.38403,0.34596,0.18847,1.68764,0.97899,1.4888,0.001783,0.001783,0.001783
85,19302.4,1.04338,0.56823,0.9601,0.57537,0.37869,0.3455,0.18915,1.68942,0.97952,1.49233,0.001684,0.001684,0.001684
86,19533.7,1.03637,0.56117,0.95886,0.58022,0.37674,0.34765,0.18807,1.69124,0.98096,1.49613,0.001585,0.001585,0.001585
87,19764.3,1.02847,0.55713,0.95476,0.57927,0.37419,0.34663,0.18784,1.69225,0.98037,1.49881,0.001486,0.001486,0.001486
88,19994.6,1.02527,0.54908,0.95421,0.57366,0.37437,0.34145,0.18461,1.69333,0.98235,1.50172,0.001387,0.001387,0.001387
89,20225.7,1.01962,0.54692,0.95067,0.57207,0.37265,0.34189,0.18697,1.69502,0.98291,1.5049,0.001288,0.001288,0.001288
90,20456.4,1.01124,0.54223,0.94943,0.56996,0.37143,0.34424,0.18941,1.69622,0.9833,1.50779,0.001189,0.001189,0.001189
91,20688.9,0.96324,0.49305,0.96004,0.56419,0.37924,0.34341,0.18845,1.69838,0.98389,1.51089,0.00109,0.00109,0.00109
92,20917.8,0.9479,0.48154,0.95706,0.56272,0.38125,0.35133,0.19534,1.6999,0.98495,1.51462,0.000991,0.000991,0.000991
93,21146.9,0.93835,0.47428,0.95193,0.55706,0.38397,0.35128,0.19461,1.70159,0.98561,1.51819,0.000892,0.000892,0.000892
94,21375.7,0.93337,0.472,0.9466,0.56173,0.37894,0.35084,0.19447,1.70262,0.98719,1.52082,0.000793,0.000793,0.000793
95,21604,0.92294,0.46644,0.94528,0.5619,0.37921,0.35019,0.19362,1.70442,0.98865,1.52445,0.000694,0.000694,0.000694
96,21832.5,0.91622,0.46728,0.9433,0.56091,0.37472,0.34927,0.19305,1.70538,0.98946,1.52669,0.000595,0.000595,0.000595
97,22060.8,0.90791,0.45806,0.93904,0.56186,0.37483,0.34824,0.19279,1.70635,0.99077,1.52921,0.000496,0.000496,0.000496
98,22289.3,0.90032,0.45352,0.93572,0.56204,0.37408,0.34753,0.19262,1.70755,0.99185,1.53257,0.000397,0.000397,0.000397
99,22517.8,0.90031,0.45293,0.93469,0.56055,0.3744,0.33975,0.18747,1.70845,0.99283,1.53546,0.000298,0.000298,0.000298
100,22746.9,0.89449,0.45065,0.9338,0.56017,0.37378,0.33923,0.18751,1.70982,0.99367,1.53878,0.000199,0.000199,0.000199
